what &apos;s going on,what &apos;s going on here,מה קורה פה
you can tell me,can you tell me,את יכולה לספר לי
you &apos;ll do fine,you &apos;re gonna do,אתה תסתדר
is that your boyfriend,it &apos;s your friend,זה החבר שלך
I really appreciate that,I really appreciate it,אני באמת מעריך את זה
can I talk to you for a second,can I talk to you,אפשר לדבר איתך רגע
I &apos;m not scared,I &apos;m not afraid of,אני לא מפחד
do you look down on me,are you disrespecting me,אתה מזלזל בי
what do you expect,why did you expect,למה ציפית
can you step outside,you can come out,אתה יכול לצאת החוצה
you want a drink,you want something to drink,רוצה לשתות משהו
if it were me,if it was me,אם זה הייתי אני
what do you think about that,what do you think about it,מה אתה חושב על זה
you can take him,you can take it,אתה יכול לקחת את זה
I just thought of something,I was thinking about something,חשבתי על משהו
I &apos;ve thought about it,I thought about it,חשבתי על זה
here &apos;s the deal,that &apos;s the situation,זה המצב
what &apos;s the matter with you,what &apos;s going on with you,מה קורה איתך
where you &apos;re going,where are you going,לאן שאתה הולך
he &apos;ll kill me,he &apos;s gonna kill me,הוא יהרוג אותי
I don &apos;t get it,not the problem,לא הבנתי
but you should know,but you need to know,אבל אתה צריך לדעת
didn &apos;t I tell you,I haven &apos;t told you,לא אמרתי לך
can you hear me,do you hear me,אתה שומע אותי
this is just the beginning,it &apos;s just the beginning,זאת רק ההתחלה
that can be arranged,we can work this out,אפשר לסדר את זה
how would I know,how do I,מאיפה לי
that &apos;s just great,it &apos;s just great,זה פשוט נהדר
not that I know of,no,לא שידוע לי
I like it here,I like to be here,אני אוהבת להיות כאן
what about the kids,what about the dog,מה עם הילדים
I &apos;ll take that,I &apos;ll take it,אני אקח את זה
everything &apos;s okay now,it &apos;s all right now,הכל בסדר עכשיו
what the fuck do you want,what the hell do you want,מה לעזאזל אתה רוצה
I can &apos;t believe it,I don &apos;t believe it,אני לא מאמין
I can &apos;t swim,I don &apos;t know how to swim,אני לא יודע לשחות
welcome to our home,welcome to our house,ברוכה הבאה לביתנו
what &apos;s going on,what &apos;s going on here,מה הולך כאן
no you &apos;re not,no you don &apos;t,לא אתה לא
he &apos;ll turn up,he shows up,הוא יופיע
there &apos;s nothing to be afraid of,there &apos;s nothing to fear,אין ממה לפחד
it &apos;s a boy,it &apos;s a kid,זה ילד
don &apos;t touch that,don &apos;t touch it,אל תיגע בזה
this was no accident,it wasn &apos;t an accident,זו לא הייתה תאונה
this was no accident,it wasn &apos;t an accident,זו לא הייתה תאונה
here we go again,it &apos;s starting again,זה שוב מתחיל
you &apos;ll be fine,you &apos;re gonna be okay,את תהיי בסדר
you &apos;ll be fine,you &apos;re gonna be okay,את תהיי בסדר
everything &apos;s gonna be okay,it &apos;s gonna be all right,הכל יהיה בסדר
what &apos;s your name,how &apos;s your name,איך קוראים לך
you &apos;re not eating,you don &apos;t eat,את לא אוכלת
we &apos;ll get through this,we &apos;re gonna get through this,אנחנו נעבור את זה
it was an accident,that &apos;s my girl,זו הייתה תאונה
I &apos;ve thought about it,I thought about it,חשבתי על זה
I don &apos;t understand what &apos;s happening,I don &apos;t understand what &apos;s going on,אני לא מבינה מה קורה
how does he do it,how &apos;s he doing that,איך הוא עושה את זה
I &apos;m not done,I didn &apos;t steal,לא גמרתי
but I &apos;m not,but I don &apos;t,אבל אני לא
where &apos;d you hear that,where did you hear that,איפה שמעת את זה
what is she talking about,what &apos;s she talking about,על מה היא מדברת
what are we gonna do,what do we do,מה נעשה
I have to do something,I need to do something,אני צריכה לעשות משהו
I won &apos;t let you,I &apos;m not gonna let you,אני לא אתן לך
can you hear me,do you hear me,אתה שומע אותי
he won &apos;t hurt you,he &apos;s not gonna hurt you,הוא לא יפגע בך
he &apos;s coming with me,he came to me,הוא בא איתי
where is this going,where &apos;s it going,לאן זה הולך
if this doesn &apos;t work,if it doesn &apos;t work,אם זה לא יעבוד
don &apos;t make me angry,don &apos;t piss me off,אל תעצבן אותי
that &apos;s not fair,it &apos;s not fair,זה לא הוגן
that &apos;s not fair,it &apos;s not fair,זה לא הוגן
that &apos;s not fair,it &apos;s not fair,זה לא הוגן
it &apos;s gonna be just,everything &apos;s gonna be,הכל יהיה
is that okay with you,it &apos;s okay with you,זה בסדר מצדך
when did you arrive,when did you get,מתי הגעת
I &apos;m glad to say,I &apos;m happy to say,אני שמח לומר
sorry I &apos;m late,I &apos;m sorry I &apos;m late,סליחה שאיחרתי
did I miss something,I miss something,החמצתי משהו
let &apos;s go inside,let &apos;s go,בוא ניכנס
I &apos;ll go first,I &apos;m gonna start,אני אתחיל
sorry about the mess,I &apos;m sorry about the mess,סליחה על הבלגן
is that what you want,that &apos;s what you want,זה מה שאתה רוצה
it won &apos;t be pleasant,it &apos;s not going to be nice to meet you,זה לא יהיה נעים
that doesn &apos;t count,it doesn &apos;t count,זה לא נחשב
this isn &apos;t working,it &apos;s not going,זה לא הולך
who wants to go first,who wants to be first,מי רוצה להיות ראשון
then what are we waiting for,so what are we waiting for,אז למה אנחנו מחכים
you won &apos;t shoot,you don &apos;t shoot,אתה לא תירה
that &apos;s not helping,it &apos;s not helping,זה לא עוזר
I can &apos;t believe it,I don &apos;t believe it,אני לא מאמין
get a move on,let &apos;s move it,זוזו כבר
do you know what you &apos;re doing,you know what you &apos;re doing,אתה יודע מה אתה עושה
I do it all the time,I &apos;m doing it all the time,אני עושה את זה כל הזמן
there &apos;s only one way to find out,there &apos;s only two,יש רק דרך אחת לגלות
but that &apos;s okay,but it &apos;s okay,אבל זה בסדר
I never met him,I &apos;ve never met him,מעולם לא פגשתי אותו
I don &apos;t know who that is,I have no idea who that is,אין לי מושג מי זה
I didn &apos;t hear,I haven &apos;t heard,לא שמעתי
I didn &apos;t hear,I haven &apos;t heard,לא שמעתי
I &apos;ve been looking all over for you,I &apos;ve been looking everywhere for you,חיפשתי אותך בכל מקום
where do you live,where you live,איפה את גרה
are you mad at me,you &apos;re mad at me,את כועסת עליי
are you mad at me,you &apos;re mad at me,את כועסת עליי
there &apos;s no room,there &apos;s no place,אין מקום
just give me a second,give me a minute,תני לי רגע
are you guys having problems,you have problems,יש לכם בעיות
that &apos;s much better,it &apos;s a lot better,זה הרבה יותר טוב
it won &apos;t work,it &apos;s not gonna work,זה לא יעבוד
she &apos;ll be fine,she &apos;s gonna be okay,היא תהיה בסדר
she &apos;ll be fine,she &apos;s gonna be okay,היא תהיה בסדר
what do I owe you,how much I owe you,כמה אני חייב לך
not that it &apos;s any of your business,not that it &apos;s your business,לא שזה עניינך
that &apos;s real funny,it &apos;s really funny,זה ממש מצחיק
you can &apos;t come in,you can &apos;t go in,אתה לא יכול להיכנס
I just have one question,I got one question,יש לי שאלה אחת
do you have a boyfriend,you have a boyfriend,יש לך חבר
how are you feeling,how do you feel,איך אתה מרגיש
I didn &apos;t mean to,I didn &apos;t mean,לא התכוונתי
I &apos;ll be fine,I &apos;ll be all right,אני אהיה בסדר
you want to sit down,do you want to sit down,את רוצה לשבת
should I be worried,I have to worry,אני צריך לדאוג
I got you a present,I brought you a present,הבאתי לך מתנה
I have a confession to make,I have a confession,יש לי וידוי
I don &apos;t really,I &apos;m not really,אני לא באמת
I &apos;ve thought about it,I thought about it,חשבתי על זה
there has to be something else,there &apos;s gotta be something else,חייב להיות משהו אחר
I &apos;m gonna be sick,I &apos;m gonna throw up,אני הולך להקיא
I don &apos;t know,don &apos;t know,לא יודעת
did you write that,you wrote that,אתה כתבת את זה
you got a name,you got there,יש לך שם
do you know who this is,you know who it is,אתה יודע מי זה
I &apos;ll talk to you later,we &apos;ll talk later,נדבר אח &quot; כ
that won &apos;t work,that &apos;s not like,זה לא מתאים
what he &apos;s saying is,what he says,מה שהוא אומר
it &apos;s very good,he &apos;s very good,הוא טוב מאוד
you shouldn &apos;t have done that,you didn &apos;t have to do that,לא היית צריך לעשות את זה
how did this happen,how it happened,איך זה קרה
you &apos;ll be fine,you &apos;re gonna be all right,אתה תהיה בסדר
it won &apos;t kill you,it &apos;s not gonna kill you,זה לא יהרוג אותך
we &apos;ve been looking all over for you,we were looking everywhere for you,חיפשנו אותך בכל מקום
I &apos;m like you,I like you,אני כמוך
put &apos; em back,bring them back,תחזיר אותם
who &apos;s that guy,who is this guy,מי הבחור הזה
you don &apos;t need that,you don &apos;t need it,אתה לא צריך את זה
don &apos;t you think,you don &apos;t think so,לא נראה לך
what &apos;s it about,what &apos;s this about,על מה זה
let &apos;s talk about this,let &apos;s talk about it,בוא נדבר על זה
and don &apos;t you forget it,and don &apos;t forget it,ואל תשכח את זה
you really are a nice guy,you &apos;re a really nice guy,אתה באמת בחור נחמד
that &apos;s what they all say,that &apos;s what everybody says,זה מה שכולם אומרים
don &apos;t go over there,don &apos;t go in there,אל תלכי לשם
I &apos;ll be right there,I &apos;m coming,אני כבר בא
pleasure to meet you,it &apos;s a pleasure to meet you,תענוג לפגוש אותך
don &apos;t do that,don &apos;t do it,אל תעשה את זה
you are always welcome,you &apos;re always welcome,אתה תמיד מוזמן
she &apos;s a human being,she &apos;s a person,היא בן אדם
I &apos;ll be fine,I &apos;ll be all right,אני אהיה בסדר
I love you too,love you too,אוהב אותך גם
that &apos;s a long time,it &apos;s a long time,זה הרבה זמן
I &apos;ve got it,I just remembered,נזכרתי
you think I &apos;m,do you think I &apos;m,את חושבת שאני
this is a nightmare,it &apos;s a nightmare,זה סיוט
how much time do you need,how long do you have,כמה זמן את צריכה
this is so fucked up,that is so fucked up,זה כל כך דפוק
what &apos;s the matter with you,what &apos;s going on with you,מה קורה איתך
you &apos;re losing it,you &apos;re going crazy,אתה משתגע
you all right there,are you okay in there,אתה בסדר שם
can I have it,can I get it,אני יכול לקבל את זה
that &apos;s a good thing,it &apos;s a good thing,זה דבר טוב
I don &apos;t know,don &apos;t know,לא יודעת
for the next few days,in the next few days,בימים הקרובים
don &apos;t do that,don &apos;t do it,אל תעשה את זה
what &apos;s going on,what &apos;s going on here,מה קורה כאן
